City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
554,Cabra,ES,37.4725,-4.4421,39.0,82,13,3.89,few clouds
555,Kungurtug,RU,50.5994,97.5228,-2.96,83,100,1.14,overcast clouds
556,Todos Santos,MX,23.45,-110.2167,73.0,55,0,5.01,clear sky
557,Havelock,US,34.8791,-76.9013,51.8,37,1,8.05,clear sky
558,Boa Vista,BR,2.8197,-60.6733,77.0,88,90,10.36,overcast clouds
559,Labuhan,ID,-6.8844,112.2051,77.4,88,100,7.78,overcast clouds
560,Port Lincoln,AU,-34.7333,135.8667,77.95,30,100,13.22,overcast clouds
561,Waipawa,NZ,-41.4122,175.5153,64.0,82,75,11.5,broken clouds
562,Juneau,US,58.3019,-134.4197,42.8,81,90,20.71,moderate rain
563,Hualmay,PE,-11.0964,-77.6139,73.81,73,98,11.18,overcast clouds
564,Srandakan,ID,-7.9386,110.2506,76.37,89,100,3.78,overcast clouds
565,Faanui,PF,-16.4833,-151.75,80.87,75,0,12.95,clear sky
566,West Plains,US,36.7281,-91.8524,34.0,64,90,6.91,overcast clouds
567,Morondava,MG,-20.2833,44.2833,82.02,73,95,4.76,light rain
568,Chernyy Yar,RU,48.0624,46.1091,30.88,96,100,8.57,overcast clouds
569,Blagoyevo,RU,63.3667,47.9167,-6.56,90,0,5.53,clear sky
570,Bubaque,GW,11.2833,-15.8333,79.56,68,0,17.74,clear sky
571,Silopi,TR,37.2497,42.4694,46.24,52,0,1.28,clear sky
572,Kieta,PG,-6.2167,155.6333,80.51,75,99,1.43,light rain
573,Shelburne,CA,44.0787,-80.2041,35.01,85,100,7.2,overcast clouds
574,Udachnyy,RU,66.4167,112.4,-33.81,82,100,4.81,overcast clouds
575,Meiringen,CH,46.7268,8.184,21.99,79,20,11.5,few clouds
576,Vestmannaeyjar,IS,63.4427,-20.2734,28.22,84,0,6.08,clear sky
577,Qaqortoq,GL,60.7167,-46.0333,41.0,38,75,19.57,broken clouds
578,Chiang Khong,TH,20.2613,100.4046,71.6,64,0,6.91,clear sky
579,Salt,JO,32.0392,35.7272,53.6,50,0,6.02,clear sky
580,Adrar,MR,20.5022,-10.0711,59.0,34,49,12.62,scattered clouds
581,Vigrestad,NO,58.5667,5.7,35.6,93,75,6.91,snow
582,Kushima,JP,31.4583,131.2333,33.01,69,100,4.0,overcast clouds
583,Grimshaw,CA,56.1834,-117.6027,15.8,79,20,11.5,few clouds
584,Cayenne,GF,4.9333,-52.3333,82.4,83,75,12.66,broken clouds
585,Ormara,PK,25.2088,64.6357,66.99,29,0,6.58,clear sky
586,Porto Walter,BR,-8.2686,-72.7439,82.47,86,10,3.6,moderate rain
587,Khovu-Aksy,RU,51.1333,93.6,-9.53,81,100,6.82,overcast clouds
588,Ternate,ID,0.8,127.4,80.89,81,57,5.14,broken clouds
589,Laredo,US,27.5064,-99.5075,46.4,87,90,19.57,overcast clouds
590,Kaeo,NZ,-35.1,173.7833,64.0,89,16,1.99,few clouds
591,Pontianak,ID,-0.0333,109.3333,77.0,100,90,1.14,overcast clouds
592,Brae,GB,60.3964,-1.353,39.2,70,90,10.36,overcast clouds
593,Port Hardy,CA,50.6996,-127.4199,46.4,87,90,18.41,light rain
