City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Aitape,PG,2021-01-06 18:43:06,-3.1374,142.3475,77.88,83,100,4.09
68,Chuy,UY,2021-01-06 18:47:04,-33.6971,-53.4616,81.3,68,39,8.41
69,Hovd,MN,2021-01-06 18:50:28,48.0056,91.6419,-10.75,73,0,0.29
70,Albany,US,2021-01-06 18:44:49,42.6001,-73.9662,33.01,71,73,8.01
71,Cherskiy,RU,2021-01-06 18:47:12,68.75,161.3,-13.65,89,100,10.25
72,Upernavik,GL,2021-01-06 18:46:46,72.7868,-56.1549,8.17,87,100,16.24
73,Conceicao Da Barra,BR,2021-01-06 18:51:57,-18.5933,-39.7322,82.35,63,1,10.67
74,Vao,NC,2021-01-06 18:43:51,-22.6667,167.4833,78.46,80,56,18.7
75,Comodoro Rivadavia,AR,2021-01-06 18:51:58,-45.8667,-67.5,89.6,25,20,17.22
76,Bumba,CD,2021-01-06 18:43:14,2.1833,22.4667,78.31,66,0,2.77
77,Grand Gaube,MU,2021-01-06 18:47:40,-20.0064,57.6608,78.01,71,0,5.99
78,Lagoa,PT,2021-01-06 18:42:24,39.05,-27.9833,56.48,68,0,34.76
79,Tiznit,MA,2021-01-06 18:47:48,29.5833,-9.5,63.36,75,100,17.16
80,Necochea,AR,2021-01-06 18:51:59,-38.5473,-58.7368,66.99,89,92,21.59
81,Ondjiva,AO,2021-01-06 18:51:59,-17.0667,15.7333,80.38,36,99,2.15
82,Vardo,NO,2021-01-06 18:46:43,70.3705,31.1107,23.0,92,40,40.26
83,Chabahar,IR,2021-01-06 18:52:00,25.2919,60.643,65.46,30,0,10.36
84,Ribeira Grande,PT,2021-01-06 18:47:19,38.5167,-28.7,53.6,76,40,31.09
85,Bonfim,BR,2021-01-06 18:42:32,3.0833,-59.95,93.54,39,100,7.87
86,Sioux Lookout,CA,2021-01-06 18:40:18,50.1001,-91.917,24.8,85,90,6.93
87,Bengkulu,ID,2021-01-06 18:45:15,-3.8004,102.2655,77.09,85,92,9.06
88,Mandalgovi,MN,2021-01-06 18:52:02,45.7625,106.2708,-14.08,84,0,16.46
89,Fairbanks,US,2021-01-06 18:45:06,64.8378,-147.7164,1.0,69,75,3.36
90,Salisbury,GB,2021-01-06 18:49:37,51.0693,-1.7957,35.6,97,0,6.93
91,Russell,US,2021-01-06 18:52:03,32.3502,-85.1999,53.6,40,1,2.35
92,Castro,BR,2021-01-06 18:46:49,-24.7911,-50.0119,76.37,73,100,9.35
93,Hilo,US,2021-01-06 18:44:52,19.7297,-155.09,68.0,88,90,4.7
94,Iranshahr,IR,2021-01-06 18:52:04,27.2025,60.6848,48.2,19,0,6.93
95,Cidreira,BR,2021-01-06 18:44:18,-30.1811,-50.2056,75.13,83,50,13.0
96,Dikson,RU,2021-01-06 18:46:45,73.5069,80.5464,18.28,97,100,22.73
97,Upata,VE,2021-01-06 18:52:04,8.0086,-62.3989,86.0,68,32,3.0
98,Severo-Kurilsk,RU,2021-01-06 18:47:29,50.6789,156.125,12.85,86,45,10.8
99,Marmande,FR,2021-01-06 18:42:05,44.5,0.1667,37.4,93,97,2.24
100,Port Alfred,ZA,2021-01-06 18:44:37,-33.5906,26.891,69.01,89,1,9.17
101,Bethel,US,2021-01-06 18:46:44,41.3712,-73.414,34.0,59,75,10.29
102,Nanortalik,GL,2021-01-06 18:48:44,60.1432,-45.2371,26.87,86,100,5.3
103,Tambura,SS,2021-01-06 18:52:05,5.6,27.4667,77.97,25,0,3.69
104,Neryungri,RU,2021-01-06 18:49:48,56.6709,124.6491,-25.76,82,100,8.14
105,Kapaa,US,2021-01-06 18:42:08,22.0752,-159.319,73.4,78,1,11.41
106,Kaitangata,NZ,2021-01-06 18:47:06,-46.2817,169.8464,57.65,96,100,1.61
107,Sabang,ID,2021-01-06 18:43:17,5.8933,95.3214,82.09,79,54,15.19
108,Bocanda,CI,2021-01-06 18:52:06,7.0626,-4.4995,86.14,45,0,6.49
109,Arraial Do Cabo,BR,2021-01-06 18:47:25,-22.9661,-42.0278,87.8,66,20,12.75
110,Poitiers,FR,2021-01-06 18:52:07,46.5833,0.3333,36.0,93,90,3.36
111,Talnakh,RU,2021-01-06 18:49:17,69.4865,88.3972,-14.8,75,90,29.08
112,Arlit,NE,2021-01-06 18:45:05,18.7369,7.3853,84.2,14,0,10.27
113,Yendi,GH,2021-01-06 18:52:07,9.4427,-0.0099,88.52,13,4,4.23
114,Hay River,CA,2021-01-06 18:52:07,60.8156,-115.7999,23.0,79,98,10.29
115,Acajutla,SV,2021-01-06 18:52:08,13.5928,-89.8275,84.2,45,0,2.24
116,Bredasdorp,ZA,2021-01-06 18:45:10,-34.5322,20.0403,68.0,68,0,5.82
117,Thompson,CA,2021-01-06 18:47:01,55.7435,-97.8558,15.8,100,90,3.36
118,Bulgan,MN,2021-01-06 18:52:08,48.8125,103.5347,-10.34,79,100,3.47
119,Tura,IN,2021-01-06 18:40:04,25.5198,90.2201,64.24,56,100,2.71
120,Lunenburg,CA,2021-01-06 18:52:09,44.3835,-64.3155,37.4,86,100,18.34
121,Remanso,BR,2021-01-06 18:52:09,-9.6179,-42.0831,90.61,28,0,3.58
122,Kruisfontein,ZA,2021-01-06 18:47:22,-34.0033,24.7314,69.01,86,37,1.99
123,Atocha,BO,2021-01-06 18:52:10,-20.9333,-66.2333,63.64,27,19,17.13
124,Shimoda,JP,2021-01-06 18:43:38,34.6667,138.95,39.0,56,100,3.0
125,Kaeo,NZ,2021-01-06 18:52:10,-35.1,173.7833,62.01,90,100,1.7
126,Nantucket,US,2021-01-06 18:45:35,41.2835,-70.0995,37.4,74,90,18.34
127,Nikolskoye,RU,2021-01-06 18:46:47,59.7035,30.7861,26.6,92,90,11.18
128,Lavrentiya,RU,2021-01-06 18:46:49,65.5833,-171.0,-13.85,83,0,7.94
129,Katangli,RU,2021-01-06 18:52:11,51.7102,143.2326,-10.55,84,97,10.6
130,Eureka,US,2021-01-06 18:45:20,40.8021,-124.1637,54.0,83,100,10.0
131,Vaini,TO,2021-01-06 18:52:11,-21.2,-175.2,73.4,100,40,5.75
132,Torit,SS,2021-01-06 18:52:12,4.4133,32.5678,84.4,29,0,5.28
133,Taksimo,RU,2021-01-06 18:52:12,56.3444,114.8794,-26.5,77,93,1.19
