City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
488,Sibiti,CG,70.23,light rain,-3.6819,13.3499,"LE PAPYRUS (hôtel, bar et restaurant)"
490,Barao De Melgaco,BR,80.6,few clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
491,Malabo,GQ,80.6,few clouds,3.75,8.7833,Magno Suites
492,Boffa,GN,75.79,clear sky,10.1667,-14.0333,Hôtel Niara Belly
493,Praia Da Vitoria,PT,60.01,light rain,38.7333,-27.0667,Hotel Branco I
495,Lebrija,ES,44.6,light rain,36.9208,-6.0753,Hostal Mellizo
496,Kokopo,PG,77.04,overcast clouds,-4.352,152.2633,Kokopo Beach Bungalow Resort
497,Tumpat,MY,77.0,few clouds,6.1978,102.171,Baan Tanyong B&B
498,Eirunepe,BR,83.48,overcast clouds,-6.6603,-69.8736,Atrás de você
499,Auki,SB,79.59,overcast clouds,-8.7676,160.7034,Auki Motel
500,Miri,MY,77.0,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
502,Itarema,BR,82.24,clear sky,-2.9248,-39.9167,Windvillage
506,Manacapuru,BR,77.0,light rain,-3.2997,-60.6206,Novo Hotel
508,Kutum,SD,59.16,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
509,Laurens,US,53.6,scattered clouds,32.4502,-82.9165,Holiday Inn Express & Suites Dublin
511,Bhawanipatna,IN,68.5,clear sky,19.9,83.1667,Bhagirathi inn
513,Fresnillo,MX,60.8,clear sky,23.1667,-102.8833,HOTEL DEL FRESNO
515,Lima,PE,77.0,few clouds,-12.0432,-77.0282,Gran Hotel Bolivar Lima
516,Jaranwala,PK,50.59,clear sky,31.3333,73.4333,Dera Syed Sibt e Hassan
517,Kotaparh,IN,65.07,clear sky,19.15,82.35,Bablu Bikash Marg
518,Rawson,AR,73.94,overcast clouds,-43.3002,-65.1023,Hosteria Sampedro
519,Mae Hong Son,TH,67.82,clear sky,19.3003,97.9685,Baiyoke Chalet Hotel
520,Charters Towers,AU,72.12,overcast clouds,-20.1,146.2667,Cattleman's Rest Motor Inn
521,Phan Thiet,VN,68.99,clear sky,10.9333,108.1,Hotel Saigon-PT
522,Pemangkat,ID,75.87,overcast clouds,1.1667,108.9667,Kost H.Syamsuddin
525,Truth Or Consequences,US,43.0,clear sky,33.1284,-107.2528,Charles Motel
527,Bayir,TR,64.4,broken clouds,37.2687,28.2167,Hotel Babadag
530,Gizo,SB,83.7,moderate rain,-8.103,156.8419,Imagination Island
531,Beira,MZ,84.2,few clouds,-19.8436,34.8389,Beira Terrace Hotel
533,Waingapu,ID,79.97,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
535,Huarmey,PE,74.77,broken clouds,-10.0681,-78.1522,Hotel Miramar
536,Salta,AR,84.2,broken clouds,-24.7859,-65.4117,Hotel Alejandro I
539,Diebougou,BF,82.22,few clouds,10.9667,-3.25,Hotel Le Consulat
543,Dwarka,IN,68.11,scattered clouds,22.2394,68.9678,Hotel Narayan Avezika Comfort
546,Sawakin,SD,75.72,clear sky,19.1059,37.3321,فندق الدويم
548,Ginda,IN,44.4,clear sky,30.6945,78.4932,Bal uma sankar hotel and restaurant
549,Badnawar,IN,64.35,clear sky,23.0167,75.2167,Hotel Mrityunjay
553,Maracacume,BR,82.13,overcast clouds,-2.0428,-45.9592,Hotel Ramos
556,Todos Santos,MX,73.0,clear sky,23.45,-110.2167,Hotel California Todos Santos
557,Havelock,US,51.8,clear sky,34.8791,-76.9013,Sherwood Motel
558,Boa Vista,BR,77.0,overcast clouds,2.8197,-60.6733,Aipana Plaza Hotel
559,Labuhan,ID,77.4,overcast clouds,-6.8844,112.2051,PT PPI Lamongan Tambak C
560,Port Lincoln,AU,77.95,overcast clouds,-34.7333,135.8667,Port Lincoln Hotel
561,Waipawa,NZ,64.0,broken clouds,-41.4122,175.5153,Tora Coastal Walk
